#       RA           DEC
      17.3453     -16.5390
      19.2491     -17.5412
      21.0178     -18.7631
      22.6241     -20.1859
      24.0420     -21.7876
      25.2460     -23.5435
      26.2116     -25.4264
      26.9147     -27.4066
      27.3315     -29.4519
      27.4388     -31.5277
      27.2146     -33.5970
      25.6692     -34.2112
      24.9204     -36.1391
      23.7958     -37.9517
      22.2953     -39.6020
      20.4332     -41.0429
      18.2412     -42.2295
      15.7720     -43.1217
      13.0988     -43.6875
      10.3127     -43.9053
      7.51500     -43.7666
      4.80834     -43.2769
      2.28667     -42.4548
    0.0276878     -41.3305
      358.089     -39.9425
      356.506     -38.3348
      356.291     -38.0654
      355.142     -36.2619
      354.369     -34.3401
      353.962     -32.3462
      353.906     -30.3240
      354.179     -28.3154
      354.758     -26.3592
      355.618     -24.4917
      356.734     -22.7464
      358.079     -21.1538
      359.624     -19.7415
      1.34178     -18.5339
      3.20150     -17.5517
      5.17204     -16.8119
      7.22097     -16.3274
      9.31492     -16.1067
      11.4200     -16.1535
      13.5020     -16.4671
      15.3565     -16.9827
      17.3010     -17.7878
      19.1262     -18.8312
      20.8013     -20.0950
      22.2965     -21.5573
      23.5834     -23.1930
      24.6345     -24.9736
      25.4233     -26.8678
      25.9241     -28.8415
      26.1125     -30.8576
      25.9656     -32.8765
      29.1952     -36.3661
      28.2618     -38.4127
      26.9555     -40.3412
      25.2697     -42.1107
      23.2092     -43.6794
      20.7955     -45.0058
      18.0698     -46.0513
      15.0956     -46.7827
      11.9571     -47.1752
      8.75394     -47.2148
      5.59203     -46.9000
      2.57333     -46.2423
      359.786     -45.2641
      357.299     -43.9970
      355.157     -42.4787
      353.387     -40.7503
      351.532     -38.0314
      350.668     -35.9668
      350.159     -33.8304
      349.986     -31.6585
      350.126     -29.4851
      350.559     -27.3418
      351.262     -25.2581
      352.214     -23.2617
      353.393     -21.3783
      354.781     -19.6317
      356.354     -18.0440
      358.093     -16.6352
      359.974     -15.4233
      1.97549     -14.4241
      4.07283     -13.6504
      6.24103     -13.1126
      8.45421     -12.8178
      10.6859     -12.7700
      12.9094     -12.9698
      15.0980     -13.4146
      17.2181     -14.0955
      19.2598     -15.0083
      21.1908     -16.1391
      22.9876     -17.4733
      24.6279     -18.9936
      26.0901     -20.6809
      27.3531     -22.5138
      28.3962     -24.4692
      29.1985     -26.5220
      29.7388     -28.6455
      29.9956     -30.8109
      29.9469     -32.9873
      28.4254     -34.3069
      27.7838     -36.3707
      26.7772     -38.3437
      25.3951     -40.1843
      23.6369     -41.8497
      21.5159     -43.2967
      19.0634     -44.4839
      16.3315     -45.3743
      13.3940     -45.9378
      10.3423     -46.1546
      7.27891     -46.0166
      4.30751     -45.5289
      1.52280     -44.7089
      359.003     -43.5848
      356.805     -42.1922
      354.964     -40.5717
      353.895     -39.3214
      352.694     -37.4119
      351.864     -35.3904
      351.392     -33.2973
      351.259     -31.1712
      351.444     -29.0482
      351.925     -26.9620
      352.680     -24.9440
      353.686     -23.0235
      354.920     -21.2276
      356.361     -19.5814
      357.985     -18.1078
      359.768     -16.8272
      1.68575     -15.7577
      3.71279     -14.9142
      5.82220     -14.3089
      7.98634     -13.9504
      10.1768     -13.8440
      12.3650     -13.9912
      14.5222     -14.3899
      17.3155     -15.3080
      19.2911     -16.2665
      21.1446     -17.4440
      22.8509     -18.8237
      24.3857     -20.3866
      25.7258     -22.1108
      26.8484     -23.9724
      27.7312     -25.9454
      28.3515     -28.0014
      28.6871     -30.1101
      28.7155     -32.2390
      31.9563     -36.1381
      31.1899     -38.3183
      30.0610     -40.4072
      28.5528     -42.3681
      26.6564     -44.1623
      24.3746     -45.7493
      21.7274     -47.0894
      18.7557     -48.1446
      15.5244     -48.8824
      12.1210     -49.2782
      8.64966     -49.3182
      5.22169     -49.0008
      1.94383     -48.3373
      358.908     -47.3502
      356.184     -46.0704
      353.819     -44.5348
      351.836     -42.7833
      349.315     -39.3516
      348.374     -37.2115
      347.785     -34.9981
      347.527     -32.7444
      347.578     -30.4809
      347.914     -28.2360
      348.515     -26.0363
      349.362     -23.9063
      350.434     -21.8693
      351.714     -19.9471
      353.185     -18.1600
      354.827     -16.5270
      356.625     -15.0658
      358.557     -13.7923
     0.606120     -12.7206
      2.75042     -11.8629
      4.96866     -11.2290
      7.23837     -10.8263
      9.53639     -10.6595
      11.8392     -10.7306
      14.1231     -11.0388
      16.3648     -11.5805
      16.8421     -11.7279
      19.0018     -12.5446
      21.0699     -13.5774
      23.0258     -14.8144
      24.8496     -16.2419
      26.5224     -17.8442
      28.0262     -19.6040
      29.3432     -21.5026
      30.4556     -23.5199
      31.3454     -25.6343
      31.9937     -27.8229
      32.3809     -30.0613
      32.4860     -32.3234
      32.2871     -34.5812
      30.5873     -36.2873
      29.7345     -38.4029
      28.5131     -40.4142
      26.9111     -42.2823
      24.9260     -43.9667
      22.5697     -45.4265
      19.8726     -46.6220
      16.8872     -47.5175
      13.6887     -48.0838
      10.3719     -48.3015
      7.04292     -48.1629
      3.80939     -47.6729
     0.769284     -46.8484
      358.003     -45.7168
      355.567     -44.3125
      353.498     -42.6746
      351.810     -40.8438
      350.407     -38.6784
      349.506     -36.5745
      348.958     -34.3981
      348.743     -32.1838
      348.838     -29.9637
      349.222     -27.7677
      349.874     -25.6237
      350.773     -23.5577
      351.899     -21.5943
      353.232     -19.7560
      354.754     -18.0643
      356.446     -16.5385
      358.287     -15.1967
     0.256111     -14.0546
      2.33253     -13.1260
      4.49325     -12.4222
      6.71461     -11.9520
      8.97222     -11.7211
      11.2412     -11.7326
      13.4964     -11.9861
      15.7131     -12.4787
      17.0588     -12.9019
      19.1616     -13.7674
      21.1638     -14.8499
      23.0434     -16.1363
      24.7796     -17.6114
      26.3521     -19.2577
      27.7414     -21.0563
      28.9284     -22.9863
      29.8938     -25.0254
      30.6180     -27.1497
      31.0807     -29.3336
      31.2607     -31.5498
      31.1364     -33.7690
      34.6104     -35.6433
      34.0300     -37.9387
      33.1030     -40.1672
      31.8063     -42.2965
      30.1203     -44.2913
      28.0328     -46.1139
      25.5439     -47.7249
      22.6712     -49.0847
      19.4559     -50.1554
      15.9647     -50.9041
      12.2898     -51.3058
      8.54224     -51.3463
      4.84108     -51.0242
      1.30023     -50.3510
      358.017     -49.3493
      355.063     -48.0507
      352.487     -46.4922
      350.309     -44.7132
      348.535     -42.7534
      347.220     -40.7713
      346.192     -38.5670
      345.518     -36.2871
      345.172     -33.9623
      345.132     -31.6207
      345.374     -29.2881
      345.876     -26.9885
      346.621     -24.7444
      347.589     -22.5769
      348.764     -20.5057
      350.131     -18.5498
      351.674     -16.7270
      353.378     -15.0541
      355.227     -13.5468
      357.207     -12.2195
      359.299     -11.0853
      1.48566     -10.1554
      3.74847     -9.43954
      6.06735     -8.94506
      8.42166     -8.67723
      10.7902     -8.63892
      13.1517     -8.83052
      15.4847     -9.25001
      18.5148     -10.1556
      20.7016     -11.0855
      22.7937     -12.2198
      24.7730     -13.5471
      26.6226     -15.0545
      28.3267     -16.7274
      29.8696     -18.5502
      31.2362     -20.5061
      32.4114     -22.5773
      33.3795     -24.7449
      34.1238     -26.9890
      34.6264     -29.2886
      34.8681     -31.6212
      34.8276     -33.9628
      33.2984     -35.9223
      32.6232     -38.1623
      31.5929     -40.3237
      30.1870     -42.3717
      28.3908     -44.2693
      26.1992     -45.9775
      23.6219     -47.4561
      20.6881     -48.6664
      17.4513     -49.5726
      13.9894     -50.1456
      10.4021     -50.3659
      6.80202     -50.2256
      3.30303     -49.7298
   0.00849704     -48.8955
      357.002     -47.7501
      354.342     -46.3278
      352.063     -44.6673
      350.179     -42.8085
      348.253     -40.0496
      347.270     -37.8762
      346.639     -35.6284
      346.338     -33.3379
      346.343     -31.0340
      346.632     -28.7438
      347.183     -26.4923
      347.978     -24.3031
      348.998     -22.1983
      350.225     -20.1987
      351.644     -18.3239
      353.237     -16.5922
      354.988     -15.0210
      356.881     -13.6261
      358.897     -12.4219
      1.01772     -11.4211
      3.22387     -10.6342
      5.49461     -10.0701
      7.80847     -9.73485
      10.1434     -9.63226
      12.4769     -9.76350
      14.7866     -10.1271
      18.7849     -11.3405
      20.9144     -12.3223
      22.9408     -13.5086
      24.8453     -14.8867
      26.6101     -16.4425
      28.2183     -18.1602
      29.6534     -20.0228
      30.8989     -22.0119
      31.9382     -24.1080
      32.7543     -26.2904
      33.3289     -28.5371
      33.6424     -30.8248
      33.6741     -33.1286
      36.7482     -37.3012
      36.0377     -39.6488
      34.9744     -41.9232
      33.5319     -44.0931
      31.6867     -46.1243
      29.4227     -47.9796
      26.7361     -49.6198
      23.6421     -51.0049
      20.1812     -52.0963
      16.4231     -52.8598
      12.4660     -53.2697
      8.42999     -53.3111
      4.44441     -52.9824
     0.632574     -52.2956
      357.098     -51.2745
      353.918     -49.9516
      351.139     -48.3647
      348.781     -46.5538
      346.843     -44.5585
      345.232     -42.2812
      344.109     -40.0215
      343.344     -37.6837
      342.908     -35.2966
      342.777     -32.8865
      342.926     -30.4772
      343.333     -28.0909
      343.979     -25.7480
      344.846     -23.4679
      345.919     -21.2688
      347.184     -19.1681
      348.626     -17.1824
      350.233     -15.3276
      351.992     -13.6187
      353.890     -12.0700
      355.912     -10.6949
      358.044     -9.50535
