#       RA           DEC
      335.784      26.8841
      338.963      28.5645
      342.288      30.0933
      345.756      31.4585
      349.359      32.6484
      353.086      33.6517
      356.920      34.4583
     0.842297      35.0594
      4.82763      35.4482
      8.84973      35.6202
      12.8801      35.5731
      16.8898      35.3077
      20.8510      34.8270
      24.7380      34.1367
      28.5284      33.2444
      32.2700      32.1381
      35.8140      30.8682
      39.2189      29.4283
      42.4790      27.8301
      45.5921      26.0857
      48.5588      24.2069
      51.3823      22.2049
      54.0674      20.0905
      56.6204      17.8738
      59.0483      15.5640
      61.3587      13.1697
      63.5596      10.6988
      65.6588      8.15851
      67.6642      5.55518
      69.5835      2.89478
      71.4242     0.182610
      73.1934     -2.57654
      74.8980     -5.37829
      76.5447     -8.21870
      78.1399     -11.0942
      79.6898     -14.0016
      81.2006     -16.9378
      82.6783     -19.9002
      84.1290     -22.8864
      85.5590     -25.8939
      89.0313     -27.7216
      90.5061     -30.7577
      91.9912     -33.8068
      93.4965     -36.8672
      95.0338     -39.9368
      96.6169     -43.0137
      98.2628     -46.0957
      99.9930     -49.1804
      101.835     -52.2650
      103.825     -55.3463
      106.012     -58.4201
      108.466     -61.4806
      111.286     -64.5201
      114.623     -67.5269
      118.711     -70.4830
      123.930     -73.3583
      130.919     -76.0996
      140.760     -78.6070
      155.106     -80.6867
      175.368     -81.9962
      199.413     -82.1393
      220.908     -81.0599
      236.504     -79.1164
      247.186     -76.6829
      254.697     -73.9826
      260.242     -71.1314
      264.542     -68.1901
      268.022     -65.1927
      270.943     -62.1593
      273.468     -59.1027
      275.708     -56.0313
      277.737     -52.9513
      279.608     -49.8671
      281.360     -46.7821
      283.369     -43.0398
      284.953     -39.9629
      286.491     -36.8932
      287.996     -33.8328
      289.481     -30.7835
      290.956     -27.7473
      292.430     -24.7263
      293.910     -21.7223
      295.404     -18.7376
      296.918     -15.7744
      298.461     -12.8351
      300.038     -9.92246
      301.656     -7.03928
      303.321     -4.18873
      305.042     -1.37426
      306.824      1.40028
      308.675      4.13068
      310.603      6.81226
      312.615      9.43981
      314.721      12.0076
      316.928      14.5092
      319.246      16.9376
      321.682      19.2851
      324.247      21.5430
      326.947      23.7019
      329.791      25.7518
      332.784      27.6816
      335.932      29.4797
      339.237      31.1339
      342.697      32.6316
      346.308      33.9601
      350.061      35.1070
      353.942      36.0606
      357.934      36.8105
      2.01207      37.3479
      6.14968      37.6662
      10.3165      37.7613
      14.4810      37.6321
      18.6115      37.2803
      22.6782      36.7102
      26.6544      35.9287
      30.5176      34.9451
      35.5281      33.3135
      39.0640      31.8982
      42.4459      30.3202
      45.6714      28.5920
      48.7412      26.7261
      51.6587      24.7345
      54.4295      22.6284
      57.0604      20.4184
      59.5595      18.1144
      61.9351      15.7252
      64.1960      13.2590
      66.3511      10.7232
      68.4088      8.12460
      70.3777      5.46915
      72.2659      2.76241
      74.0813   0.00922394
      75.8313     -2.78592
      77.5232     -5.61897
      79.1640     -8.48637
      80.7604     -11.3848
      82.3192     -14.3112
      83.8470     -17.2628
      85.3505     -20.2371
      86.8365     -23.2318
      88.3122     -26.2446
      88.9288     -29.3276
      90.3842     -32.3722
      91.8503     -35.4301
      93.3373     -38.4992
      94.8572     -41.5777
      96.4242     -44.6637
      98.0561     -47.7550
      99.7753     -50.8494
      101.611     -53.9441
      103.604     -57.0358
      105.807     -60.1203
      108.298     -63.1919
      111.195     -66.2423
      114.677     -69.2590
      119.033     -72.2218
      124.759     -75.0952
      132.728     -77.8129
      144.491     -80.2408
      162.336     -82.1040
      187.019     -82.9386
      212.683     -82.3972
      232.148     -80.7180
      245.054     -78.3852
      253.703     -75.7169
      259.834     -72.8708
      264.443     -69.9241
      268.088     -66.9172
      271.097     -63.8730
      273.667     -60.8053
      275.927     -57.7231
      277.960     -54.6326
      279.827     -51.5383
      281.570     -48.4436
      283.219     -45.3514
      284.950     -41.9625
      286.475     -38.8829
      287.965     -35.8125
      289.434     -32.7532
      290.890     -29.7068
      292.343     -26.6752
      293.801     -23.6605
      295.272     -20.6646
      296.763     -17.6897
      298.279     -14.7383
      299.828     -11.8129
      301.416     -8.91615
      303.049     -6.05122
      304.735     -3.22140
      306.480    -0.430344
      308.291      2.31789
      310.175      5.01881
      312.140      7.66746
      314.195      10.2583
      316.346      12.7854
      318.604      15.2418
      320.975      17.6202
      323.470      19.9124
      326.095      22.1094
      328.858      24.2016
      331.766      26.1785
      334.823      28.0287
      338.034      29.7406
      341.397      31.3018
      344.910      32.6999
      348.567      33.9225
      352.355      34.9580
      356.258      35.7955
     0.256900      36.4256
      4.32545      36.8410
      8.43589      37.0364
      12.5580      37.0096
      16.6611      36.7607
      20.7152      36.2930
      24.6930      35.6121
      28.5704      34.7259
      33.2252      33.3518
      36.8134      32.0424
      40.2546      30.5636
      43.5438      28.9278
      46.6798      27.1472
      49.6642      25.2341
      52.5011      23.1999
      55.1962      21.0556
      57.7567      18.8112
      60.1904      16.4760
      62.5055      14.0588
      64.7106      11.5672
      66.8141      9.00842
      68.8243      6.38877
      70.7494      3.71411
      72.5971     0.989639
      74.3749     -1.77991
      76.0901     -4.59026
      77.7496     -7.43756
      79.3602     -10.3183
      80.9284     -13.2293
      82.4607     -16.1677
      83.9636     -19.1308
      85.4436     -22.1161
      86.9075     -25.1215
      90.6714     -27.5137
      92.1887     -30.5459
      93.7240     -33.5893
      95.2884     -36.6417
      96.8950     -39.7011
      98.5593     -42.7652
      100.300     -45.8315
      102.142     -48.8973
      104.116     -51.9592
      106.262     -55.0132
      108.634     -58.0539
      111.309     -61.0742
      114.394     -64.0641
      118.049     -67.0089
      122.511     -69.8862
      128.154     -72.6595
      135.560     -75.2674
      145.608     -77.6026
      159.407     -79.4797
      177.493     -80.6178
      198.020     -80.7395
      216.924     -79.8082
      231.683     -78.0686
      242.470     -75.8159
      250.376     -73.2572
      256.351     -70.5142
      261.039     -67.6562
      264.849     -64.7241
      268.045     -61.7427
      270.800     -58.7282
      273.232     -55.6913
      275.423     -52.6398
      277.431     -49.5793
      279.299     -46.5141
      281.800     -42.1141
      283.451     -39.0508
      285.047     -35.9928
      286.604     -32.9421
      288.135     -29.9009
      289.649     -26.8713
      291.158     -23.8551
      292.668     -20.8546
      294.189     -17.8719
      295.727     -14.9093
      297.290     -11.9691
      298.884     -9.05409
      300.517     -6.16701
      302.195     -3.31098
      303.926    -0.489418
      305.717      2.29390
      307.576      5.03483
      309.511      7.72874
      311.530      10.3705
      313.642      12.9545
      315.856      15.4743
      318.181      17.9230
      320.626      20.2927
      323.202      22.5749
      325.916      24.7602
      328.777      26.8383
      331.793      28.7981
      334.969      30.6277
      338.308      32.3144
      341.810      33.8454
      345.472      35.2073
      349.285      36.3872
      353.235      37.3728
      357.304      38.1528
      1.46799      38.7179
      5.69760      39.0608
      9.96129      39.1770
      14.2253      39.0649
      18.4558      38.7261
      22.6209      38.1650
      26.6918      37.3888
      30.6445      36.4068
      36.5144      34.4974
      40.0912      33.0431
      43.5061      31.4268
      46.7572      29.6617
      49.8466      27.7607
      52.7787      25.7359
      55.5601      23.5989
      58.1986      21.3603
      60.7030      19.0299
      63.0825      16.6168
      65.3465      14.1290
      67.5045      11.5739
      69.5654      8.95808
      71.5381      6.28763
      73.4312      3.56786
      75.2529     0.803612
      77.0108     -2.00075
      78.7127     -4.84126
      80.3656     -7.71439
      81.9769     -10.6169
      83.5533     -13.5457
      85.1019     -16.4983
      86.6296     -19.4720
      88.1439     -22.4645
      89.6523     -25.4737
      90.6012     -29.1381
      92.1032     -32.1787
      93.6245     -35.2305
      95.1765     -38.2914
      96.7726     -41.3594
      98.4291     -44.4323
      100.166     -47.5077
      102.010     -50.5827
      103.993     -53.6541
      106.161     -56.7176
      108.574     -59.7679
      111.320     -62.7973
      114.526     -65.7953
      118.382     -68.7455
      123.188     -71.6220
      129.425     -74.3813
      137.875     -76.9460
      149.735     -79.1745
      166.348     -80.8165
      187.505     -81.5224
      209.259     -81.0670
      227.016     -79.6022
      239.830     -77.4780
      248.921     -74.9727
      255.569     -72.2483
      260.644     -69.3933
      264.681     -66.4568
      268.012     -63.4678
      270.847     -60.4443
      273.326     -57.3979
      275.542     -54.3368
      277.562     -51.2668
      279.434     -48.1923
      281.192     -45.1167
      281.746     -44.1129
      283.396     -41.0404
      284.987     -37.9731
      286.535     -34.9130
      288.054     -31.8623
      289.554     -28.8229
      291.046     -25.7969
      292.539     -22.7861
      294.039     -19.7928
      295.556     -16.8192
      297.095     -13.8676
      298.663     -10.9404
      300.268     -8.04057
      301.916     -5.17094
      303.614     -2.33485
      305.369     0.464119
      307.189      3.22197
      309.082      5.93427
      311.054      8.59614
      313.116      11.2021
      315.274      13.7463
      317.539      16.2218
      319.919      18.6214
      322.424      20.9368
      325.061      23.1590
      327.841      25.2784
      330.769      27.2842
      333.851      29.1649
      337.093      30.9086
      340.495      32.5026
      344.054      33.9339
      347.765      35.1897
      351.616      36.2576
      355.592      37.1261
      359.670      37.7852
      3.82564      38.2268
      8.02856      38.4454
      12.2468      38.4380
      16.4476      38.2048
      20.5989      37.7487
      24.6713      37.0757
      28.6392      36.1938
      32.4818      35.1133
      34.1849      34.5587
      37.8181      33.2099
      41.2959      31.6923
      44.6143      30.0188
      47.7730      28.2022
      50.7746      26.2549
      53.6242      24.1887
      56.3287      22.0145
      58.8960      19.7425
      61.3346      17.3822
      63.6536      14.9422
      65.8621      12.4301
      67.9690      9.85295
      69.9831      7.21713
      71.9130      4.52837
      73.7667      1.79179
      75.5521    -0.987999
      77.2767     -3.80676
      78.9479     -6.66075
      80.5725     -9.54650
      82.1576     -12.4609
      83.7098     -15.4011
      85.2361     -18.3645
      86.7433     -21.3487
      88.2387     -24.3513
      92.2874     -27.2666
      93.8462     -30.2938
      95.4305     -33.3299
      97.0523     -36.3728
      98.7260     -39.4201
      100.468     -42.4695
      102.301     -45.5180
      104.249     -48.5625
      106.347     -51.5989
      108.637     -54.6223
      111.180     -57.6264
      114.055     -60.6023
      117.375     -63.5381
      121.300     -66.4161
      126.065     -69.2098
      132.019     -71.8777
      139.667     -74.3531
      149.692     -76.5273
      162.798     -78.2303
      179.067     -79.2348
      196.996     -79.3406
      213.832     -78.5229
      227.677     -76.9545
      238.334     -74.8681
      246.447     -72.4484
      252.727     -69.8164
      257.722     -67.0464
      261.811     -64.1845
      265.249     -61.2598
      268.212     -58.2916
      270.821     -55.2929
      273.162     -52.2732
      275.299     -49.2392
      277.277     -46.1961
      280.269     -41.1953
      281.981     -38.1464
      283.631     -35.1007
      285.235     -32.0603
      286.808     -29.0277
      288.359     -26.0049
      289.900     -22.9941
      291.438     -19.9974
      292.983     -17.0169
      294.543     -14.0550
      296.124     -11.1140
      297.734     -8.19668
      299.380     -5.30572
      301.069     -2.44422
      302.810     0.384460
      304.609      3.17661
      306.475      5.92814
      308.416      8.63450
      310.440      11.2906
      312.557      13.8909
      314.776      16.4291
      317.107      18.8982
      319.561      21.2904
      322.146      23.5973
      324.873      25.8092
      327.751      27.9159
      330.789      29.9061
      333.992      31.7675
      337.366      33.4873
      340.912      35.0519
      344.625      36.4478
      348.499      37.6612
      352.521      38.6790
      356.670      39.4894
     0.923335      40.0821
      5.24942      40.4494
      9.61480      40.5860
      13.9834      40.4903
      18.3190      40.1633
      22.5870      39.6098
      26.7568      38.8371
      30.8025      37.8550
      37.5076      35.6753
      41.1260      34.1817
      44.5739      32.5271
      47.8505      30.7252
      50.9590      28.7890
      53.9050      26.7311
      56.6962      24.5632
      59.3414      22.2961
      61.8503      19.9395
      64.2329      17.5026
      66.4992      14.9933
      68.6591      12.4190
      70.7222      9.78619
      72.6979      7.10083
      74.5949      4.36820
      76.4218      1.59303
      78.1868     -1.22038
      79.8974     -4.06814
      81.5614     -6.94680
      83.1861     -9.85313
      84.7787     -12.7842
      86.3465     -15.7374
      87.8969     -18.7102
      89.4373     -21.7002
      90.9760     -24.7052
      92.2495     -28.9085
      93.7972     -31.9437
      95.3723     -34.9878
      96.9873     -38.0388
      98.6572     -41.0944
      100.400     -44.1521
      102.238     -47.2091
      104.200     -50.2620
      106.322     -53.3069
      108.653     -56.3387
      111.260     -59.3505
      114.236     -62.3331
      117.712     -65.2732
      121.885     -68.1510
      127.048     -70.9355
      133.644     -73.5768
      142.336     -75.9914
      153.996     -78.0387
      169.353     -79.5001
      187.851     -80.1110
      206.737     -79.7184
      222.917     -78.4240
      235.359     -76.4852
      244.631     -74.1378
      251.628     -71.5381
      257.064     -68.7802
      261.427     -65.9200
      265.040     -62.9918
      268.113     -60.0173
      270.793     -57.0111
      273.180     -53.9831
      275.343     -50.9406
      277.337     -47.8891
      279.200     -44.8327
      280.162     -43.1826
      281.879     -40.1253
      283.530     -37.0710
      285.131     -34.0219
      286.696     -30.9804
      288.237     -27.9485
      289.765     -24.9284
      291.289     -21.9220
      292.817     -18.9316
      294.357     -15.9594
      295.917     -13.0076
      297.503     -10.0789
      299.123     -7.17592
      300.784     -4.30161
      302.493     -1.45924
      304.258      1.34768
      306.086      4.11520
      307.985      6.83897
      309.964      9.51418
      312.031      12.1355
      314.195      14.6968
      316.467      17.1917
      318.854      19.6126
      321.368      21.9514
      324.017      24.1992
      326.812      26.3460
      329.759      28.3811
      332.867      30.2928
      336.140      32.0688
      339.580      33.6959
      343.186      35.1609
      346.953      36.4503
      350.870      37.5509
      354.920      38.4507
      359.081      39.1388
      3.32771      39.6066
      7.62758      39.8478
      11.9468      39.8592
      16.2501      39.6405
      20.5032      39.1948
      24.6746      38.5281
      28.7366      37.6488
      32.6671      36.5674
      35.1504      35.7593
      38.8294      34.3711
      42.3442      32.8148
      45.6917      31.1036
      48.8727      29.2510
      51.8910      27.2695
      54.7528      25.1712
      57.4659      22.9673
      60.0390      20.6679
      62.4818      18.2826
      64.8038      15.8198
      67.0148      13.2873
      69.1242      10.6920
      71.1413      8.04021
      73.0750      5.33750
      74.9338      2.58897
      76.7258    -0.200882
      78.4588     -3.02785
      80.1404     -5.88833
      81.7779     -8.77888
      83.3784     -11.6965
      84.9491     -14.6382
      86.4970     -17.6016
      88.0295     -20.5842
      89.5542     -23.5837
      91.0792     -26.5979
      93.8787     -26.9813
      95.4780     -30.0020
      97.1098     -33.0295
      98.7870     -36.0613
      100.525     -39.0951
      102.342     -42.1279
      104.261     -45.1567
      106.309     -48.1776
      108.523     -51.1861
      110.948     -54.1763
      113.646     -57.1406
      116.699     -60.0688
      120.222     -62.9470
      124.372     -65.7546
      129.373     -68.4621
      135.538     -71.0241
      143.293     -73.3713
      153.148     -75.3979
      165.523     -76.9521
      180.279     -77.8501
      196.212     -77.9437
      211.375     -77.2153
      224.324     -75.7910
      234.713     -73.8547
      242.890     -71.5682
      249.369     -69.0469
      254.598     -66.3672
      258.915     -63.5789
      262.562     -60.7144
      265.709     -57.7959
      268.478     -54.8386
      270.958     -51.8534
      273.214     -48.8485
      275.295     -45.8299
      278.773     -40.2840
      280.540     -37.2503
      282.239     -34.2173
      283.887     -31.1879
      285.498     -28.1642
      287.083     -25.1487
      288.653     -22.1434
      290.217     -19.1506
      291.785     -16.1726
      293.364     -13.2115
      294.962     -10.2699
      296.586     -7.35027
      298.244     -4.45547
      299.944     -1.58850
      301.693      1.24731
      303.498      4.04834
      305.370      6.81052
      307.315      9.52942
      309.344      12.2000
      311.465      14.8168
      313.688      17.3735
      316.024      19.8632
      318.484      22.2782
      321.078      24.6100
      323.817      26.8489
      326.711      28.9846
      329.770      31.0055
      333.001      32.8992
      336.410      34.6526
      339.998      36.2515
      343.765      37.6818
      347.702      38.9291
      351.797      39.9796
      356.031      40.8206
     0.377371      41.4411
      4.80478      41.8325
      9.27719      41.9892
      13.7559      41.9089
      18.2020      41.5927
      22.5782      41.0453
      26.8513      40.2743
      30.9936      39.2901
      34.6728      38.2059
      38.5092      36.8474
      42.1697      35.3145
      45.6506      33.6215
      48.9524      31.7826
      52.0796      29.8112
      55.0388      27.7202
      57.8390      25.5215
      60.4900      23.2259
      63.0025      20.8432
      65.3871      18.3825
      67.6547      15.8519
      69.8157      13.2585
      71.8801      10.6088
      73.8577      7.90869
      75.7578      5.16335
      77.5890      2.37743
      79.3598    -0.444878
      81.0783     -3.29974
      82.7522     -6.18373
      84.3891     -9.09372
      85.9966     -12.0268
      87.5821     -14.9804
      89.1533     -17.9519
      90.7181     -20.9390
      92.2850     -23.9395
      93.8729     -28.6396
      95.4651     -31.6679
      97.0925     -34.7030
      98.7684     -37.7424
      100.509     -40.7838
      102.334     -43.8243
      104.268     -46.8607
      106.341     -49.8891
      108.593     -52.9048
      111.075     -55.9017
      113.858     -58.8716
      117.037     -61.8034
      120.747     -64.6815
      125.180     -67.4828
      130.612     -70.1723
      137.438     -72.6957
      146.195     -74.9669
      157.493     -76.8527
      171.677     -78.1660
      188.110     -78.7042
      204.808     -78.3591
      219.599     -77.2020
      231.531     -75.4258
      240.801     -73.2269
      248.006     -70.7508
      253.709     -68.0926
      258.337     -65.3127
      262.189     -62.4493
      265.473     -59.5279
      268.335     -56.5654
      270.877     -53.5738
      273.175     -50.5617
      275.284     -47.5356
      277.246     -44.5006
      278.617     -42.2592
      280.396     -39.2179
      282.101     -36.1772
      283.751     -33.1397
      285.358     -30.1079
      286.937     -27.0839
      288.498     -24.0700
      290.051     -21.0683
      291.604     -18.0810
      293.166     -15.1103
      294.744     -12.1586
      296.347     -9.22832
      297.981     -6.32227
      299.653     -3.44331
      301.372    -0.594635
      303.145      2.22027
      304.980      4.99751
      306.885      7.73284
      308.868      10.4215
      310.940      13.0582
      313.109      15.6369
      315.386      18.1513
      317.780      20.5938
      320.301      22.9563
      322.962      25.2299
      325.770      27.4045
      328.737      29.4693
      331.869      31.4124
      335.172      33.2211
      338.651      34.8819
      342.305      36.3811
      346.129      37.7044
      350.113      38.8383
      354.241      39.7696
      358.489      40.4869
      2.83109      40.9807
      7.23282      41.2442
      11.6581      41.2737
      16.0693      41.0686
      20.4293      40.6320
      24.7042      39.9700
      28.8644      39.0913
      32.8860      38.0071
      36.1231      36.9541
      39.8487      35.5264
      43.4008      33.9311
      46.7774      32.1823
      49.9803      30.2936
      53.0147      28.2780
      55.8879      26.1477
      58.6087      23.9140
      61.1869      21.5874
      63.6329      19.1771
      65.9569      16.6917
      68.1695      14.1389
      70.2805      11.5256
      72.2997      8.85792
      74.2363      6.14140
      76.0992      3.38107
      77.8967     0.581337
      79.6371     -2.25371
      81.3281     -5.12047
      82.9772     -8.01561
      84.5919     -10.9361
      86.1794     -13.8792
      87.7474     -16.8423
      89.3033     -19.8230
      90.8552     -22.8189
      92.4116     -25.8280
      95.4450     -26.6583
      97.0835     -29.6715
      98.7610     -32.6890
      100.491     -35.7085
      102.291     -38.7271
      104.179     -41.7419
      106.179     -44.7491
      108.321     -47.7445
      110.642     -50.7228
      113.190     -53.6774
      116.027     -56.5995
      119.237     -59.4775
      122.932     -62.2954
      127.264     -65.0306
      132.439     -67.6509
      138.735     -70.1086
      146.495     -72.3340
      156.091     -74.2269
      167.751     -75.6538
      181.240     -76.4654
      195.592     -76.5493
      209.382     -75.8927
      221.494     -74.5901
      231.540     -72.7883
      239.678     -70.6270
      246.267     -68.2140
      251.666     -65.6252
      256.165     -62.9123
      259.987     -60.1106
      263.294     -57.2444
      266.206     -54.3310
      268.813     -51.3828
      271.179     -48.4091
      273.358     -45.4170
      275.398     -42.3941
      277.308     -39.3806
      279.125     -36.3626
      280.869     -33.3430
      282.557     -30.3249
      284.203     -27.3106
      285.819     -24.3026
      287.416     -21.3031
      289.005     -18.3145
      290.593     -15.3391
      292.190     -12.3790
      293.803     -9.43671
      295.440     -6.51492
      297.109     -3.61632
      298.817    -0.743904
      300.573      2.09907
      302.384      4.90900
      304.260      7.68193
      306.209      10.4134
      308.240      13.0986
      310.364      15.7320
      312.590      18.3074
      314.931      20.8179
      317.396      23.2560
      319.998      25.6129
      322.747      27.8791
      325.657      30.0442
      328.736      32.0963
      331.993      34.0229
      335.437      35.8103
      339.069      37.4442
      342.889      38.9096
      346.892      40.1914
      351.063      41.2751
      355.385      42.1470
      359.829      42.7953
      4.36333      43.2108
      8.94859      43.3870
      13.5435      43.3213
      18.1060      43.0147
      22.5959      42.4719
      26.9773      41.7009
      31.2203      40.7124
      35.6308      39.4125
      39.5206      38.0142
      43.2238      36.4417
      46.7377      34.7101
      50.0644      32.8340
      53.2095      30.8274
      56.1812      28.7033
      58.9894      26.4737
      61.6453      24.1496
      64.1604      21.7409
      66.5461      19.2566
      68.8140      16.7047
      70.9750      14.0923
      73.0398      11.4259
      75.0185      8.71112
      76.9205      5.95321
      78.7551      3.15666
      80.5308     0.325630
      82.2560     -2.53613
      83.9387     -5.42529
      85.5867     -8.33872
      87.2077     -11.2736
      88.8095     -14.2273
      90.4000     -17.1973
      91.9874     -20.1812
      93.5804     -23.1769
      95.4708     -28.3322
      97.1062     -31.3523
      98.7839     -34.3769
      100.518     -37.4033
      102.327     -40.4289
      104.230     -43.4504
      106.254     -46.4643
      108.431     -49.4660
      110.803     -52.4501
      113.423     -55.4093
      116.363     -58.3343
      119.720     -61.2124
      123.626     -64.0255
      128.265     -66.7480
      133.890     -69.3417
      140.841     -71.7498
      149.539     -73.8869
      160.394     -75.6300
      173.523     -76.8207
      188.311     -77.3017
      203.288     -76.9938
      216.874     -75.9489
      228.243     -74.3141
      237.390     -72.2526
      244.691     -69.8962
      250.578     -67.3381
      255.412     -64.6404
      259.464     -61.8449
      262.930     -58.9795
      265.954     -56.0637
      268.638     -53.1111
      271.059     -50.1319
      273.276     -47.1336
      275.331     -44.1221
      277.109     -41.3432
      278.943     -38.3185
      280.698     -35.2920
      282.391     -32.2666
      284.038     -29.2449
      285.652     -26.2292
      287.243     -23.2218
      288.822     -20.2250
      290.399     -17.2410
      291.981     -14.2720
      293.576     -11.3204
      295.194     -8.38873
      296.840     -5.47967
      298.523     -2.59608
      300.250     0.258896
      302.030      3.08180
      303.870      5.86884
      305.779      8.61580
      307.767      11.3180
      309.842      13.9702
      312.014      16.5665
      314.295      19.1005
      316.694      21.5648
      319.223      23.9513
      321.893      26.2510
      324.715      28.4538
      327.699      30.5487
      330.855      32.5236
      334.189      34.3656
      337.707      36.0607
      341.410      37.5946
      345.292      38.9525
      349.346      40.1200
      353.554      41.0833
      357.893      41.8300
      2.33524      42.3498
      6.84417      42.6353
      11.3813      42.6822
      15.9061      42.4898
      20.3786      42.0609
      24.7621      41.4019
      29.0246      40.5220
      33.1408      39.4329
      37.1043      38.1433
      40.8774      36.6760
      44.4671      35.0417
      47.8726      33.2551
      51.0970      31.3302
      54.1468      29.2804
      57.0305      27.1181
      59.7582      24.8547
      62.3405      22.5008
      64.7887      20.0657
      67.1139      17.5578
      69.3271      14.9848
      71.4387      12.3536
      73.4590      9.67016
      75.3976      6.94000
      77.2636      4.16799
      79.0658      1.35852
      80.8124     -1.48441
      82.5117     -4.35730
      84.1712     -7.25684
      85.7988     -10.1800
      87.4020     -13.1242
      88.9884     -16.0867
      90.5661     -19.0652
      92.1432     -22.0573
      93.7287     -25.0609
      96.9858     -26.2985
      98.6619     -29.3029
      100.383     -32.3094
      102.164     -35.3153
      104.022     -38.3175
      105.977     -41.3127
      108.053     -44.2968
      110.282     -47.2650
      112.701     -50.2114
      115.360     -53.1284
      118.321     -56.0063
      121.666     -58.8320
      125.504     -61.5880
      129.979     -64.2499
      135.276     -66.7835
      141.634     -69.1400
      149.327     -71.2512
      158.616     -73.0237
      169.604     -74.3411
      182.021     -75.0814
      195.090     -75.1575
      207.737     -74.5598
      219.083     -73.3607
      228.751     -71.6788
      236.779     -69.6340
      243.410     -67.3253
      248.921     -64.8264
      253.561     -62.1897
      257.527     -59.4523
      260.971     -56.6403
      264.010     -53.7728
      266.729     -50.8635
      269.197     -47.9229
      271.465     -44.9590
      273.572     -41.9780
      273.910     -41.4804
      275.871     -38.4857
      277.734     -35.4838
      279.519     -32.4780
      281.243     -29.4715
      282.921     -26.4669
      284.566     -23.4667
      286.189     -20.4734
      287.799     -17.4891
      289.406     -14.5164
      291.019     -11.5574
      292.646     -8.61465
      294.294     -5.69072
      295.972     -2.78835
      297.688    0.0895157
      299.450      2.93964
      301.266      5.75852
      303.145      8.54224
      305.096      11.2864
      307.129      13.9863
      309.254      16.6364
      311.482      19.2306
      313.825      21.7622
      316.295      24.2235
      318.903      26.6059
      321.662      28.8998
      324.585      31.0946
      327.684      33.1785
      330.968      35.1385
      334.445      36.9606
      338.122      38.6301
      341.997      40.1312
      346.067      41.4482
      350.318      42.5656
      354.731      43.4689
      359.278      44.1453
      3.92469      44.5847
      8.62920      44.7801
      13.3470      44.7282
      18.0325      44.4299
      22.6421      43.8901
      27.1370      43.1172
      31.4851      42.1225
      35.6620      40.9195
      36.5990      40.6142
      40.5434      39.1757
      44.2897      37.5635
      47.8367      35.7931
      51.1877      33.8797
      54.3500      31.8377
      57.3332      29.6803
      60.1486      27.4198
      62.8083      25.0673
      65.3248      22.6326
      67.7106      20.1247
      69.9778      17.5516
      72.1379      14.9203
      74.2020      12.2373
      76.1807      9.50804
      78.0839      6.73767
      79.9208      3.93065
      81.7005      1.09103
      83.4314     -1.77750
      85.1218     -4.67164
      86.7797     -7.58833
      88.4131     -10.5248
      90.0298     -13.4784
      91.6381     -16.4466
      93.2464     -19.4270
      94.8637     -22.4175
      95.4018     -24.9805
      97.0429     -27.9869
      98.7198     -30.9977
      100.446     -34.0105
      102.236     -37.0226
      104.109     -40.0309
      106.086     -43.0319
      108.194     -46.0215
      110.468     -48.9946
      112.949     -51.9449
      115.693     -54.8643
      118.771     -57.7422
      122.281     -60.5642
      126.348     -63.3106
      131.146     -65.9532
      136.898     -68.4521
      143.891     -70.7494
      152.447     -72.7626
      162.829     -74.3801
      175.022     -75.4683
      188.471     -75.9031
      202.060     -75.6251
      214.605     -74.6730
      225.406     -73.1613
      234.351     -71.2255
      241.664     -68.9833
      247.666     -66.5236
      252.654     -63.9090
      256.867     -61.1829
      260.489     -58.3758
      263.654     -55.5089
      266.465     -52.5977
      269.000     -49.6535
      271.315     -46.6848
      273.457     -43.6985
      275.632     -40.4351
      277.517     -37.4276
      279.317     -34.4158
      281.051     -31.4030
      282.734     -28.3917
      284.379     -25.3846
      285.998     -22.3840
      287.602     -19.3923
      289.200     -16.4117
      290.800     -13.4446
      292.412     -10.4932
      294.042     -7.56024
      295.699     -4.64820
      297.391     -1.75999
      299.126      1.10127
      300.911      3.93222
      302.756      6.72909
      304.668      9.48774
      306.658      12.2036
      308.736      14.8714
      310.910      17.4854
      313.194      20.0393
      315.597      22.5256
      318.132      24.9364
      320.810      27.2625
      323.644      29.4938
      326.645      31.6193
      329.824      33.6265
      333.189      35.5023
      336.746      37.2323
      340.498      38.8016
      344.440      40.1947
      348.566      41.3965
      352.858      42.3921
      357.293      43.1685
      1.83953      43.7144
      6.46154      44.0216
      11.1168      44.0854
      15.7615      43.9045
      20.3525      43.4820
      24.8500      42.8243
      29.2197      41.9413
      33.4342      40.8451
      38.0957      39.3274
      41.9171      37.8202
      45.5446      36.1467
      48.9787      34.3220
      52.2241      32.3608
      55.2885      30.2767
      58.1819      28.0824
      60.9153      25.7894
      63.5008      23.4082
      65.9502      20.9482
      68.2755      18.4180
      70.4883      15.8250
      72.5996      13.1759
      74.6201      10.4769
      76.5596      7.73318
      78.4278      4.94965
      80.2336      2.13060
      81.9855    -0.720100
      83.6920     -3.59892
      85.3609     -6.50266
      87.0001     -9.42841
      88.6175     -12.3734
      90.2210     -15.3351
      91.8188     -18.3111
      93.4193     -21.2990
      95.0319     -24.2967
      98.5008     -25.9025
      100.213     -28.8973
      101.976     -31.8916
      103.805     -34.8827
      105.718     -37.8673
      107.735     -40.8416
      109.883     -43.8013
      112.191     -46.7409
      114.700     -49.6538
      117.457     -52.5317
