# ID        RA           DEC
  231       22.2501     -25.9949
  232       22.9294     -27.7924
  233       23.2884     -29.6630
  234       23.3011     -31.5599
  235       27.0575     -34.2988
  236       26.3574     -36.2966
  237       25.2865     -38.1916
  238       23.8391     -39.9394
  239       22.0216     -41.4952
  240       19.8563     -42.8148
  241       17.3848     -43.8573
  242       14.6702     -44.5877
  243       11.7952     -44.9800
  244       8.85699     -45.0196
  245       5.95909     -44.7050
  246       3.20098     -44.0479
  247      0.669199     -43.0721
  248       358.431     -41.8109
  249       356.534     -40.3039
  250       355.068     -38.6812
  251       353.896     -36.8216
  252       353.096     -34.8473
  253       352.658     -32.8015
  254       352.564     -30.7252
  255       352.794     -28.6569
  256       353.324     -26.6328
  257       354.131     -24.6864
  258       355.192     -22.8491
  259       356.481     -21.1497
  260       357.975     -19.6143
  261       359.647     -18.2666
  262       1.47121     -17.1274
  263       3.41965     -16.2143
  264       5.46363     -15.5416
  265       7.57334     -15.1199
  266       9.71818     -14.9557
  267       11.8671     -15.0518
  268       13.9890     -15.4066
  269       15.3348     -15.7720
  270       17.3453     -16.5390
  271       19.2491     -17.5412
  272       21.0178     -18.7631
  273       22.6241     -20.1859
  274       24.0420     -21.7876
  275       25.2460     -23.5435
  276       26.2116     -25.4264
  277       26.9147     -27.4066
  278       27.3315     -29.4519
  279       27.4388     -31.5277
  280       27.2146     -33.5970
  281       25.6692     -34.2112
  282       24.9204     -36.1391
  283       23.7958     -37.9517
  284       22.2953     -39.6020
  285       20.4332     -41.0429
  286       18.2412     -42.2295
  287       15.7720     -43.1217
  288       13.0988     -43.6875
  289       10.3127     -43.9053
  290       7.51500     -43.7666
  291       4.80834     -43.2769
  292       2.28667     -42.4548
  293     0.0276878     -41.3305
  294       358.089     -39.9425
  295       356.506     -38.3348
  296       356.291     -38.0654
  297       355.142     -36.2619
  298       354.369     -34.3401
  299       353.962     -32.3462
  300       353.906     -30.3240
  301       354.179     -28.3154
  302       354.758     -26.3592
  303       355.618     -24.4917
  304       356.734     -22.7464
  305       358.079     -21.1538
  306       359.624     -19.7415
  307       1.34178     -18.5339
  308       3.20150     -17.5517
  309       5.17204     -16.8119
  310       7.22097     -16.3274
  311       9.31492     -16.1067
  312       11.4200     -16.1535
  313       13.5020     -16.4671
  314       15.3565     -16.9827
  315       17.3010     -17.7878
  316       19.1262     -18.8312
  317       20.8013     -20.0950
  318       22.2965     -21.5573
  319       23.5834     -23.1930
  320       24.6345     -24.9736
  321       25.4233     -26.8678
  322       25.9241     -28.8415
  323       26.1125     -30.8576
  324       25.9656     -32.8765
  325       29.1952     -36.3661
  326       28.2618     -38.4127
  327       26.9555     -40.3412
  328       25.2697     -42.1107
  329       23.2092     -43.6794
  330       20.7955     -45.0058
  331       18.0698     -46.0513
  332       15.0956     -46.7827
  333       11.9571     -47.1752
  334       8.75394     -47.2148
  335       5.59203     -46.9000
  336       2.57333     -46.2423
  337       359.786     -45.2641
  338       357.299     -43.9970
  339       355.157     -42.4787
  340       353.387     -40.7503
  341       351.532     -38.0314
  342       350.668     -35.9668
  343       350.159     -33.8304
  344       349.986     -31.6585
  345       350.126     -29.4851
