# ID        RA           DEC
 3405       73.4682     -33.5027
 3406       74.3776     -36.5345
 3407       75.2008     -39.5884
 3408       75.9307     -42.6616
 3409       76.5571     -45.7511
 3410       77.0656     -48.8540
 3411       77.4362     -51.9669
 3412       77.6405     -55.0865
 3413       77.6383     -58.2084
 3414       77.3709     -61.3275
 3415       76.7505     -64.4366
 3416       75.6417     -67.5258
 3417       73.8260     -70.5799
 3418       70.9347     -73.5733
 3419       66.3127     -76.4598
 3420       58.7487     -79.1481
 3421       46.0832     -81.4436
 3422       25.7364     -82.9471
 3423       359.823     -83.1158
 3424       337.721     -81.8660
 3425       323.531     -79.7031
 3426       315.058     -77.0800
 3427       309.913     -74.2273
 3428       306.707     -71.2526
 3429       304.691     -68.2094
 3430       303.448     -65.1263
 3431       302.733     -62.0206
 3432       302.396     -58.9031
 3433       302.340     -55.7814
 3434       302.503     -52.6609
 3435       302.839     -49.5461
 3436       303.361     -46.2002
 3437       303.972     -43.1086
 3438       304.687     -40.0328
 3439       305.498     -36.9760
 3440       306.395     -33.9407
 3441       307.374     -30.9301
 3442       308.432     -27.9471
 3443       309.566     -24.9948
 3444       310.776     -22.0766
 3445       312.063     -19.1961
 3446       313.426     -16.3571
 3447       314.869     -13.5636
 3448       316.394     -10.8200
 3449       318.002     -8.13127
 3450       319.698     -5.50246
 3451       321.486     -2.93921
 3452       323.367    -0.447556
 3453       325.348      1.96597
 3454       327.431      4.29431
 3455       329.620      6.52998
 3456       331.918      8.66496
 3457       334.328      10.6908
 3458       336.851      12.5985
 3459       339.489      14.3790
 3460       342.239      16.0227
 3461       345.100      17.5201
 3462       348.068      18.8617
 3463       351.134      20.0385
 3464       354.292      21.0418
 3465       357.528      21.8637
 3466      0.828896      22.4977
 3467       4.17964      22.9381
 3468       7.56244      23.1812
 3469       10.9589      23.2248
 3470       14.3499      23.0684
 3471       17.7168      22.7135
 3472       21.0417      22.1633
 3473       24.3080      21.4225
 3474       28.9301      20.0159
 3475       31.9948      18.8356
 3476       34.9601      17.4906
 3477       37.8190      15.9901
 3478       40.5672      14.3434
 3479       43.2022      12.5602
 3480       45.7231      10.6500
 3481       48.1306      8.62181
 3482       50.4264      6.48467
 3483       52.6132      4.24701
 3484       54.6940      1.91681
 3485       56.6724    -0.498383
 3486       58.5524     -2.99160
 3487       60.3376     -5.55627
 3488       62.0319     -8.18638
 3489       63.6388     -10.8763
 3490       65.1614     -13.6209
 3491       66.6026     -16.4154
 3492       67.9648     -19.2554
 3493       69.2497     -22.1367
 3494       70.4584     -25.0556
 3495       71.5911     -28.0086
 3496       72.6471     -30.9922
 3497       72.9491     -34.8717
 3498       73.7882     -37.9078
 3499       74.5318     -40.9647
 3500       75.1702     -44.0392
 3501       75.6900     -47.1282
 3502       76.0725     -50.2283
 3503       76.2916     -53.3357
 3504       76.3109     -56.4459
 3505       76.0778     -59.5538
 3506       75.5157     -62.6523
 3507       74.5095     -65.7317
 3508       72.8794     -68.7777
 3509       70.3348     -71.7678
 3510       66.3854     -74.6632
 3511       60.1767     -77.3926
 3512       50.2427     -79.8162
 3513       34.5466     -81.6578
 3514       12.6438     -82.4740
 3515       349.872     -81.9454
 3516       332.682     -80.2899
 3517       321.645     -77.9656
 3518       314.761     -75.2886
 3519       310.400     -72.4223
 3520       307.595     -69.4492
 3521       305.791     -66.4132
 3522       304.665     -63.3398
 3523       304.016     -60.2446
 3524       303.717     -57.1381
 3525       303.685     -54.0278
 3526       303.864     -50.9194
 3527       304.159     -48.2149
 3528       304.633     -45.1216
 3529       305.232     -42.0416
 3530       305.940     -38.9782
 3531       306.746     -35.9344
 3532       307.643     -32.9135
 3533       308.626     -29.9183
 3534       309.692     -26.9524
 3535       310.837     -24.0188
 3536       312.062     -21.1213
 3537       313.366     -18.2636
 3538       314.751     -15.4498
 3539       316.218     -12.6841
 3540       317.770     -9.97139
 3541       319.409     -7.31658
 3542       321.139     -4.72518
 3543       322.963     -2.20309
 3544       324.884     0.243347
 3545       326.906      2.60731
 3546       329.033      4.88145
 3547       331.267      7.05800
 3548       333.611      9.12868
 3549       336.067      11.0848
 3550       338.637      12.9173
 3551       341.319      14.6169
 3552       344.112      16.1741
 3553       347.011      17.5795
 3554       350.012      18.8239
 3555       353.106      19.8985
 3556       356.282      20.7953
 3557       359.529      21.5070
 3558       2.83093      22.0280
 3559       6.17168      22.3535
 3560       9.53349      22.4808
 3561       12.8979      22.4087
 3562       16.2463      22.1379
 3563       19.5607      21.6708
 3564       22.8241      21.0113
 3565       26.0214      20.1652
 3566       26.8597      19.9093
 3567       29.9545      18.8366
 3568       32.9563      17.5940
 3569       35.8571      16.1903
 3570       38.6511      14.6347
 3571       41.3344      12.9367
 3572       43.9051      11.1056
 3573       46.3627      9.15076
 3574       48.7083      7.08128
 3575       50.9436      4.90585
 3576       53.0713      2.63273
 3577       55.0945     0.269730
 3578       57.0167     -2.17586
 3579       58.8414     -4.69717
 3580       60.5722     -7.28782
 3581       62.2125     -9.94198
 3582       63.7653     -12.6541
 3583       65.2335     -15.4192
 3584       66.6194     -18.2325
 3585       67.9246     -21.0898
 3586       69.1501     -23.9869
 3587       70.2963     -26.9200
 3588       71.3623     -29.8857
 3589       75.4015     -33.7462
 3590       76.3637     -36.7907
 3591       77.2515     -39.8569
 3592       78.0596     -42.9423
 3593       78.7804     -46.0443
 3594       79.4026     -49.1604
 3595       79.9106     -52.2882
 3596       80.2818     -55.4248
 3597       80.4835     -58.5672
 3598       80.4675     -61.7114
 3599       80.1608     -64.8527
 3600       79.4483     -67.9840
 3601       78.1395     -71.0950
 3602       75.9004     -74.1680
 3603       72.0994     -77.1698
 3604       65.4384     -80.0302
 3605       53.0936     -82.5776
 3606       29.9723     -84.3649
 3607       356.958     -84.5763
 3608       330.922     -83.0659
 3609       316.671     -80.6338
 3610       309.069     -77.8224
 3611       304.779     -74.8439
 3612       302.262     -71.7831
 3613       300.783     -68.6787
 3614       299.957     -65.5508
 3615       299.572     -62.4111
 3616       299.499     -59.2670
 3617       299.657     -56.1239
 3618       299.994     -52.9857
 3619       300.474     -49.8557
 3620       301.392     -45.2629
 3621       302.136     -42.1649
 3622       302.964     -39.0841
 3623       303.871     -36.0231
 3624       304.852     -32.9844
 3625       305.903     -29.9705
 3626       307.022     -26.9842
 3627       308.211     -24.0285
 3628       309.468     -21.1065
 3629       310.796     -18.2215
 3630       312.196     -15.3772
 3631       313.671     -12.5774
 3632       315.224     -9.82658
 3633       316.858     -7.12924
 3634       318.576     -4.49045
 3635       320.384     -1.91568
 3636       322.285     0.589134
 3637       324.283      3.01756
 3638       326.384      5.36269
 3639       328.590      7.61703
 3640       330.906      9.77264
 3641       333.334      11.8210
 3642       335.878      13.7533
 3643       338.538      15.5602
 3644       341.314      17.2321
 3645       344.204      18.7593
 3646       347.204      20.1321
 3647       350.307      21.3410
 3648       353.506      22.3773
 3649       356.788      23.2325
 3650      0.140804      23.8998
 3651       3.54711      24.3732
 3652       6.98960      24.6484
 3653       10.4492      24.7230
 3654       13.9063      24.5962
 3655       17.3412      24.2692
 3656       20.7351      23.7450
 3657       24.0707      23.0284
 3658       27.3326      22.1254
 3659       29.9499      21.2486
 3660       33.0454      20.0259
 3661       36.0366      18.6402
 3662       38.9174      17.1008
 3663       41.6839      15.4175
 3664       44.3344      13.6000
 3665       46.8686      11.6579
 3666       49.2878      9.60043
 3667       51.5946      7.43644
 3668       53.7919      5.17439
 3669       55.8836      2.82218
 3670       57.8739     0.387276
 3671       59.7670     -2.12350
 3672       61.5672     -4.70371
 3673       63.2789     -7.34749
 3674       64.9059     -10.0494
 3675       66.4520     -12.8044
 3676       67.9207     -15.6079
 3677       69.3148     -18.4557
 3678       70.6369     -21.3439
 3679       71.8887     -24.2688
 3680       73.0716     -27.2271
 3681       74.1859     -30.2157
 3682       74.9142     -35.1469
 3683       75.8101     -38.1967
 3684       76.6228     -41.2670
 3685       77.3449     -44.3552
 3686       77.9656     -47.4585
 3687       78.4698     -50.5743
 3688       78.8361     -53.6995
 3689       79.0339     -56.8307
 3690       79.0191     -59.9639
 3691       78.7261     -63.0940
 3692       78.0543     -66.2141
 3693       76.8434     -69.3138
 3694       74.8251     -72.3767
 3695       71.5224     -75.3739
 3696       66.0313     -78.2491
 3697       56.5553     -80.8805
 3698       39.8007     -82.9825
 3699       13.3210     -83.9692
 3700       345.300     -83.3248
 3701       326.399     -81.4095
 3702       315.643     -78.8624
 3703       309.466     -76.0273
 3704       305.776     -73.0509
 3705       303.523     -69.9995
 3706       302.161     -66.9062
 3707       301.386     -63.7897
 3708       301.019     -60.6611
 3709       300.949     -57.5280
 3710       301.104     -54.3960
 3711       301.436     -51.2692
 3712       301.911     -48.1511
 3713       302.066     -47.2852
 3714       302.693     -44.1826
 3715       303.420     -41.0953
 3716       304.238     -38.0261
 3717       305.138     -34.9775
 3718       306.116     -31.9524
 3719       307.169     -28.9534
 3720       308.295     -25.9835
 3721       309.493     -23.0460
 3722       310.764     -20.1441
 3723       312.109     -17.2813
 3724       313.529     -14.4616
 3725       315.028     -11.6891
 3726       316.607     -8.96833
 3727       318.272     -6.30424
 3728       320.024     -3.70211
 3729       321.868     -1.16772
 3730       323.808      1.29272
 3731       325.848      3.67247
 3732       327.992      5.96430
 3733       330.244      8.16047
 3734       332.607      10.2528
 3735       335.083      12.2324
 3736       337.674      14.0905
 3737       340.381      15.8174
 3738       343.200      17.4037
 3739       346.131      18.8396
 3740       349.166      20.1158
 3741       352.299      21.2232
 3742       355.519      22.1534
 3743       358.814      22.8989
 3744       2.16828      23.4533
 3745       5.56597      23.8119
 3746       8.98849      23.9713
 3747       12.4167      23.9301
 3748       15.8313      23.6888
 3749       19.2135      23.2494
 3750       22.5455      22.6160
 3751       25.8113      21.7939
 3752       27.8650      21.1704
 3753       30.9929      20.0541
 3754       34.0231      18.7694
 3755       36.9478      17.3254
 3756       39.7618      15.7317
 3757       42.4620      13.9977
 3758       45.0471      12.1332
 3759       47.5175      10.1475
 3760       49.8746      8.04963
 3761       52.1209      5.84832
 3762       54.2597      3.55177
 3763       56.2946      1.16769
 3764       58.2297     -1.29673
 3765       60.0689     -3.83476
 3766       61.8164     -6.44022
 3767       63.4761     -9.10736
 3768       65.0515     -11.8309
 3769       66.5461     -14.6059
 3770       67.9626     -17.4280
 3771       69.3035     -20.2928
 3772       70.5706     -23.1967
 3773       71.7650     -26.1360
 3774       72.8870     -29.1074
 3775       73.9360     -32.1078
 3776       77.3194     -33.9408
 3777       78.3374     -36.9958
 3778       79.2928     -40.0717
 3779       80.1827     -43.1666
 3780       81.0020     -46.2780
 3781       81.7431     -49.4042
 3782       82.3949     -52.5429
 3783       82.9411     -55.6922
 3784       83.3580     -58.8495
 3785       83.6098     -62.0125
 3786       83.6413     -65.1779
 3787       83.3644     -68.3414
 3788       82.6299     -71.4969
 3789       81.1676     -74.6337
 3790       78.4396     -77.7323
 3791       73.2326     -80.7479
 3792       62.3517     -83.5566
 3793       36.9162     -85.7225
 3794       352.054     -86.0036
 3795       321.562     -84.1228
 3796       308.512     -81.3984
 3797       302.439     -78.4131
 3798       299.302     -75.3277
 3799       297.619     -72.1972
 3800       296.752     -69.0448
 3801       296.390     -65.8824
 3802       296.362     -62.7170
 3803       296.570     -59.5532
 3804       296.954     -56.3943
 3805       297.474     -53.2430
 3806       298.104     -50.1018
 3807       298.713     -47.4395
 3808       299.504     -44.3223
 3809       300.368     -41.2211
 3810       301.300     -38.1378
 3811       302.295     -35.0748
 3812       303.351     -32.0342
 3813       304.467     -29.0183
 3814       305.644     -26.0298
 3815       306.883     -23.0715
 3816       308.184     -20.1462
 3817       309.549     -17.2571
 3818       310.983     -14.4078
 3819       312.487     -11.6021
 3820       314.066     -8.84404
 3821       315.723     -6.13817
 3822       317.462     -3.48940
 3823       319.289    -0.903084
 3824       321.207      1.61495
 3825       323.222      4.05839
 3826       325.338      6.42035
 3827       327.561      8.69347
 3828       329.893      10.8698
 3829       332.340      12.9409
 3830       334.904      14.8977
 3831       337.586      16.7310
 3832       340.387      18.4311
 3833       343.306      19.9879
 3834       346.339      21.3917
 3835       349.480      22.6326
 3836       352.721      23.7014
 3837       356.050      24.5896
 3838       359.455      25.2896
 3839       2.91835      25.7952
 3840       6.42223      26.1017
 3841       9.94689      26.2063
 3842       13.4719      26.1078
 3843       16.9767      25.8074
 3844       20.4415      25.3077
 3845       23.8482      24.6135
 3846       27.1804      23.7309
 3847       30.9652      22.4695
 3848       34.0916      21.2052
 3849       37.1089      19.7795
 3850       40.0114      18.2021
 3851       42.7960      16.4829
 3852       45.4615      14.6317
 3853       48.0085      12.6583
 3854       50.4391      10.5720
 3855       52.7561      8.38171
 3856       54.9634      6.09572
 3857       57.0653      3.72195
 3858       59.0665      1.26771
 3859       60.9717     -1.26025
 3860       62.7859     -3.85561
 3861       64.5135     -6.51266
 3862       66.1593     -9.22612
 3863       67.7273     -11.9911
 3864       69.2215     -14.8032
 3865       70.6453     -17.6582
 3866       72.0020     -20.5525
 3867       73.2941     -23.4826
 3868       74.5236     -26.4454
 3869       75.6920     -29.4378
 3870       75.8427     -32.3333
 3871       76.8657     -35.3718
 3872       77.8216     -38.4328
 3873       78.7072     -41.5140
 3874       79.5172     -44.6130
 3875       80.2439     -47.7277
 3876       80.8761     -50.8556
 3877       81.3975     -53.9946
 3878       81.7847     -57.1420
 3879       82.0032     -60.2949
 3880       82.0010     -63.4499
 3881       81.6974     -66.6022
 3882       80.9608     -69.7454
 3883       79.5644     -72.8687
 3884       77.0870     -75.9533
 3885       72.6683     -78.9611
 3886       64.3438     -81.8008
 3887       47.3287     -84.2132
 3888       14.4330     -85.4524
 3889       338.484     -84.6312
 3890       318.434     -82.3903
 3891       308.740     -79.6128
 3892       303.684     -76.6314
 3893       300.873     -73.5595
 3894       299.282     -70.4428
 3895       298.423     -67.3029
 3896       298.037     -64.1519
 3897       297.976     -60.9971
 3898       298.151     -57.8433
 3899       298.504     -54.6945
 3900       298.998     -51.5534
 3901       299.607     -48.4228
 3902       300.066     -46.3488
 3903       300.831     -43.2408
 3904       301.675     -40.1494
 3905       302.593     -37.0768
 3906       303.578     -34.0255
 3907       304.630     -30.9977
 3908       305.747     -27.9961
 3909       306.929     -25.0234
 3910       308.175     -22.0826
 3911       309.488     -19.1767
 3912       310.870     -16.3093
 3913       312.323     -13.4840
 3914       313.851     -10.7049
 3915       315.456     -7.97623
 3916       317.143     -5.30289
 3917       318.916     -2.69003
 3918       320.779    -0.143288
 3919       322.737      2.33121
 3920       324.794      4.72682
 3921       326.954      7.03641
 3922       329.223      9.25227
 3923       331.604      11.3662
 3924       334.099      13.3695
 3925       336.712      15.2530
 3926       339.442      17.0073
 3927       342.288      18.6225
 3928       345.249      20.0889
 3929       348.320      21.3967
 3930       351.492      22.5365
 3931       354.756      23.4997
 3932       358.100      24.2783
 3933       1.50902      24.8655
 3934       4.96518      25.2563
 3935       8.45010      25.4468
 3936       11.9440      25.4354
 3937       15.4266      25.2221
 3938       18.8783      24.8090
 3939       22.2805      24.1999
 3940       25.6162      23.4001
 3941       28.8650      22.4185
 3942       32.0264      21.2596
 3943       35.0849      19.9337
 3944       38.0334      18.4503
 3945       40.8673      16.8192
 3946       43.5842      15.0501
 3947       46.1834      13.1528
 3948       48.6660      11.1368
 3949       51.0340      9.01109
 3950       53.2907      6.78444
 3951       55.4399      4.46492
 3952       57.4857      2.06020
 3953       59.4327    -0.422638
 3954       61.2854     -2.97701
 3955       63.0484     -5.59686
 3956       64.7261     -8.27659
 3957       66.3225     -11.0110
 3958       67.8415     -13.7956
 3959       69.2866     -16.6257
 3960       70.6608     -19.4976
 3961       71.9665     -22.4075
 3962       73.2058     -25.3520
 3963       74.3800     -28.3280
 3964       75.4896     -31.3326
 3965       79.2212     -34.0870
 3966       80.2972     -37.1501
 3967       81.3229     -40.2334
 3968       82.2973     -43.3350
 3969       83.2184     -46.4530
 3970       84.0821     -49.5857
 3971       84.8825     -52.7314
 3972       85.6102     -55.8885
 3973       86.2509     -59.0553
 3974       86.7826     -62.2301
 3975       87.1712     -65.4110
 3976       87.3605     -68.5956
 3977       87.2541     -71.7809
 3978       86.6730     -74.9621
 3979       85.2464     -78.1304
 3980       82.0762     -81.2662
 3981       74.3797     -84.3086
 3982       49.7525     -86.9541
 3983       342.003     -87.3615
 3984       308.733     -84.9553
 3985       299.067     -81.9554
 3986       295.257     -78.8323
 3987       293.552     -75.6688
 3988       292.825     -72.4895
 3989       292.633     -69.3047
 3990       292.767     -66.1196
 3991       293.117     -62.9377
 3992       293.620     -59.7614
 3993       294.239     -56.5926
 3994       294.949     -53.4332
 3995       295.734     -50.2848
 3996       296.768     -46.4991
 3997       297.689     -43.3809
 3998       298.662     -40.2791
 3999       299.687     -37.1955
 4000       300.763     -34.1320
 4001       301.888     -31.0909
 4002       303.065     -28.0742
 4003       304.294     -25.0843
 4004       305.578     -22.1239
 4005       306.919     -19.1958
 4006       308.319     -16.3031
 4007       309.784     -13.4491
 4008       311.315     -10.6376
 4009       312.917     -7.87238
 4010       314.596     -5.15800
 4011       316.354     -2.49923
 4012       318.198    0.0986938
 4013       320.132      2.63003
 4014       322.163      5.08856
 4015       324.294      7.46748
 4016       326.532      9.75947
 4017       328.880      11.9566
 4018       331.345      14.0505
 4019       333.927      16.0320
 4020       336.631      17.8918
 4021       339.457      19.6199
 4022       342.405      21.2065
 4023       345.471      22.6411
 4024       348.650      23.9138
 4025       351.934      25.0151
 4026       355.312      25.9358
 4027       358.771      26.6681
 4028       2.29262      27.2053
 4029       5.85975      27.5424
 4030       9.45152      27.6760
 4031       13.0466      27.6048
 4032       16.6235      27.3295
 4033       20.1614      26.8529
 4034       23.6410      26.1794
 4035       27.0451      25.3153
 4036       28.7127      24.8146
 4037       31.9771      23.6793
 4038       35.1347      22.3743
 4039       38.1780      20.9093
 4040       41.1021      19.2944
 4041       43.9045      17.5399
 4042       46.5848      15.6556
 4043       49.1442      13.6515
 4044       51.5854      11.5369
 4045       53.9121      9.32063
 4046       56.1287      7.01114
 4047       58.2401      4.61614
 4048       60.2513      2.14294
 4049       62.1678    -0.401825
 4050       63.9947     -3.01202
 4051       65.7372     -5.68201
 4052       67.4002     -8.40664
 4053       68.9885     -11.1812
 4054       70.5064     -14.0013
 4055       71.9580     -16.8631
 4056       73.3468     -19.7630
 4057       74.6763     -22.6976
 4058       75.9493     -25.6639
 4059       77.1682     -28.6592
 4060       77.7282     -32.4987
 4061       78.8027     -35.5469
 4062       79.8214     -38.6168
 4063       80.7828     -41.7063
 4064       81.6842     -44.8133
 4065       82.5210     -47.9361
 4066       83.2861     -51.0726
 4067       83.9690     -54.2211
 4068       84.5540     -57.3796
 4069       85.0176     -60.5462
 4070       85.3239     -63.7186
 4071       85.4160     -66.8939
 4072       85.1997     -70.0685
 4073       84.5087     -73.2367
 4074       83.0230     -76.3886
 4075       80.0486     -79.5038
 4076       73.7986     -82.5303
 4077       58.4969     -85.2866
 4078       16.5977     -86.9224
 4079       327.669     -85.8076
 4080       308.455     -83.1794
 4081       300.955     -80.1882
 4082       297.473     -77.0862
 4083       295.737     -73.9401
 4084       294.905     -70.7745
 4085       294.601     -67.6007
 4086       294.634     -64.4252
 4087       294.899     -61.2519
 4088       295.331     -58.0838
 4089       295.892     -54.9233
 4090       296.554     -51.7724
 4091       297.302     -48.6330
 4092       298.151     -45.4087
 4093       299.040     -42.2985
 4094       299.990     -39.2055
 4095       300.998     -36.1317
 4096       302.062     -33.0792
 4097       303.182     -30.0502
 4098       304.357     -27.0470
 4099       305.589     -24.0723
 4100       306.880     -21.1289
 4101       308.233     -18.2196
 4102       309.649     -15.3479
 4103       311.132     -12.5172
 4104       312.686     -9.73151
 4105       314.314     -6.99506
 4106       316.022     -4.31248
 4107       317.814     -1.68885
 4108       319.694     0.870300
 4109       321.668      3.35894
 4110       323.741      5.77053
 4111       325.918      8.09796
 4112       328.203      10.3336
 4113       330.600      12.4693
 4114       333.114      14.4963
 4115       335.747      16.4053
 4116       338.501      18.1869
 4117       341.374      19.8310
 4118       344.366      21.3277
 4119       347.472      22.6669
 4120       350.684      23.8390
 4121       353.994      24.8349
 4122       357.388      25.6461
 4123      0.852347      26.2657
 4124       4.36866      26.6878
 4125       7.91785      26.9086
 4126       11.4793      26.9259
 4127       15.0321      26.7395
 4128       18.5554      26.3512
 4129       22.0296      25.7647
 4130       25.4369      24.9854
 4131       29.8609      23.6548
 4132       33.0560      22.4540
 4133       36.1430      21.0878
 4134       39.1153      19.5657
 4135       41.9689      17.8978
 4136       44.7021      16.0942
 4137       47.3150      14.1648
 4138       49.8093      12.1190
 4139       52.1878      9.96593
 4140       54.4542      7.71436
 4141       56.6130      5.37231
 4142       58.6689      2.94734
 4143       60.6269     0.446442
 4144       62.4921     -2.12391
 4145       64.2694     -4.75777
 4146       65.9638     -7.44972
 4147       67.5797     -10.1947
 4148       69.1215     -12.9882
 4149       70.5931     -15.8260
 4150       71.9982     -18.7043
 4151       73.3400     -21.6195
 4152       74.6211     -24.5684
 4153       75.8438     -27.5481
 4154       77.0097     -30.5557
 4155       79.9301     -31.1376
 4156       81.1058     -34.1854
 4157       82.2417     -37.2544
 4158       83.3395     -40.3425
 4159       84.4006     -43.4482
 4160       85.4257     -46.5697
 4161       86.4148     -49.7055
 4162       87.3671     -52.8542
 4163       88.2802     -56.0143
 4164       89.1501     -59.1848
 4165       89.9698     -62.3642
 4166       90.7273     -65.5514
 4167       91.4026     -68.7451
 4168       91.9597     -71.9441
 4169       92.3304     -75.1469
 4170       92.3693     -78.3512
 4171       91.7085     -81.5537
 4172       89.0845     -84.7436
 4173       75.8507     -87.8532
 4174       314.824     -88.4825
 4175       292.179     -85.4487
 4176       288.621     -82.2655
 4177       287.696     -79.0645
 4178       287.624     -75.8600
 4179       287.938     -72.6567
 4180       288.461     -69.4568
 4181       289.114     -66.2617
 4182       289.856     -63.0730
 4183       290.663     -59.8917
 4184       291.522     -56.7192
 4185       292.426     -53.5566
 4186       293.370     -50.4053
 4187       294.351     -47.2665
 4188       294.902     -45.5569
 4189       295.939     -42.4404
 4190       297.012     -39.3403
 4191       298.122     -36.2581
 4192       299.271     -33.1958
 4193       300.460     -30.1552
 4194       301.691     -27.1385
 4195       302.969     -24.1480
 4196       304.294     -21.1862
 4197       305.672     -18.2557
 4198       307.105     -15.3596
 4199       308.597     -12.5011
 4200       310.153     -9.68382
 4201       311.777     -6.91158
 4202       313.475     -4.18870
 4203       315.251     -1.51989
 4204       317.111      1.08971
 4205       319.060      3.63445
 4206       321.105      6.10818
 4207       323.250      8.50419
 4208       325.502      10.8152
 4209       327.866      13.0333
 4210       330.346      15.1500
 4211       332.948      17.1563
 4212       335.673      19.0426
 4213       338.524      20.7991
 4214       341.501      22.4152
 4215       344.600      23.8807
 4216       347.818      25.1852
 4217       351.146      26.3187
 4218       354.573      27.2718
 4219       358.087      28.0361
 4220       1.66920      28.6044
 4221       5.30163      28.9713
 4222       8.96276      29.1331
 4223       12.6303      29.0882
 4224       16.2816      28.8369
 4225       19.8949      28.3819
 4226       23.4497      27.7276
 4227       26.9277      26.8803
 4228       29.6852      26.0555
 4229       32.9868      24.8789
 4230       36.1758      23.5338
 4231       39.2451      22.0301
 4232       42.1907      20.3784
 4233       45.0106      18.5890
 4234       47.7052      16.6721
 4235       50.2766      14.6377
 4236       52.7280      12.4952
 4237       55.0638      10.2534
 4238       57.2889      7.92070
 4239       59.4089      5.50488
 4240       61.4293      3.01302
 4241       63.3560     0.451721
 4242       65.1947     -2.17298
 4243       66.9509     -4.85558
 4244       68.6300     -7.59106
 4245       70.2370     -10.3748
 4246       71.7769     -13.2026
 4247       73.2542     -16.0707
 4248       74.6731     -18.9756
 4249       76.0374     -21.9141
 4250       77.3508     -24.8832
 4251       78.6166     -27.8804
 4252       79.5960     -32.6171
 4253       80.7241     -35.6727
 4254       81.8077     -38.7492
 4255       82.8473     -41.8444
 4256       83.8427     -44.9566
 4257       84.7925     -48.0842
 4258       85.6942     -51.2256
 4259       86.5431     -54.3793
 4260       87.3319     -57.5437
 4261       88.0491     -60.7176
 4262       88.6763     -63.8994
 4263       89.1837     -67.0876
 4264       89.5211     -70.2803
 4265       89.5980     -73.4753
 4266       89.2354     -76.6691
 4267       88.0287     -79.8548
 4268       84.8432     -83.0157
 4269       75.0122     -86.0829
 4270       22.6106     -88.3710
 4271       309.873     -86.7253
 4272       296.431     -83.7116
 4273       292.440     -80.5616
 4274       290.938     -77.3792
 4275       290.436     -74.1864
 4276       290.435     -70.9914
 4277       290.724     -67.7979
 4278       291.199     -64.6086
 4279       291.803     -61.4252
 4280       292.502     -58.2494
 4281       293.276     -55.0827
 4282       294.112     -51.9265
 4283       295.003     -48.7823
 4284       296.311     -44.4673
 4285       297.313     -41.3576
 4286       298.359     -38.2652
 4287       299.450     -35.1919
 4288       300.585     -32.1397
 4289       301.766     -29.1105
 4290       302.995     -26.1067
 4291       304.274     -23.1306
 4292       305.606     -20.1850
 4293       306.994     -17.2727
 4294       308.442     -14.3969
 4295       309.952     -11.5611
 4296       311.531     -8.76900
 4297       313.181     -6.02477
 4298       314.908     -3.33294
 4299       316.717    -0.698494
 4300       318.613      1.87314
 4301       320.603      4.37602
 4302       322.690      6.80368
 4303       324.881      9.14909
 4304       327.181      11.4046
 4305       329.595      13.5622
 4306       332.127      15.6129
 4307       334.780      17.5476
 4308       337.557      19.3565
 4309       340.457      21.0296
 4310       343.480      22.5566
 4311       346.621      23.9272
 4312       349.874      25.1314
 4313       353.230      26.1596
 4314       356.676      27.0032
 4315      0.197464      27.6546
 4316       3.77576      28.1076
 4317       7.39128      28.3578
 4318       11.0226      28.4028
 4319       14.6477      28.2421
 4320       18.2449      27.8772
 4321       21.7933      27.3119
 4322       25.2742      26.5514
 4323       28.6712      25.6029
 4324       30.8538      24.8801
 4325       34.0830      23.6383
 4326       37.1985      22.2322
 4327       40.1945      20.6721
 4328       43.0677      18.9681
 4329       45.8169      17.1305
 4330       48.4431      15.1694
 4331       50.9486      13.0942
 4332       53.3369      10.9143
 4333       55.6124      8.63821
 4334       57.7801      6.27399
 4335       59.8452      3.82912
 4336       61.8134      1.31051
 4337       63.6900     -1.27550
 4338       65.4805     -3.92308
 4339       67.1903     -6.62690
 4340       68.8242     -9.38209
 4341       70.3872     -12.1842
 4342       71.8835     -15.0292
 4343       73.3174     -17.9133
 4344       74.6927     -20.8332
 4345       76.0127     -23.7858
 4346       77.2805     -26.7682
 4347       78.4988     -29.7778
 4348       81.7459     -31.1837
 4349       82.9723     -34.2365
 4350       84.1693     -37.3091
 4351       85.3406     -40.3998
 4352       86.4896     -43.5069
 4353       87.6201     -46.6289
 4354       88.7360     -49.7643
 4355       89.8416     -52.9119
 4356       90.9421     -56.0703
 4357       92.0436     -59.2385
 4358       93.1543     -62.4151
 4359       94.2854     -65.5993
 4360       95.4539     -68.7898
 4361       96.6878     -71.9856
 4362       98.0372     -75.1855
 4363       99.6066     -78.3882
 4364       101.657     -81.5913
 4365       105.084     -84.7893
 4366       116.320     -87.9475
 4367       254.844     -88.6161
 4368       273.669     -85.4988
 4369       277.760     -82.3039
 4370       279.994     -79.1012
 4371       281.638     -75.8982
 4372       283.024     -72.6975
 4373       284.278     -69.5007
 4374       285.458     -66.3089
 4375       286.596     -63.1233
 4376       287.710     -59.9448
 4377       288.813     -56.7747
 4378       289.913     -53.6140
 4379       291.017     -50.4639
 4380       292.130     -47.3256
 4381       293.107     -44.6152
 4382       294.249     -41.5027
 4383       295.411     -38.4059
 4384       296.599     -35.3267
 4385       297.814     -32.2667
 4386       299.062     -29.2277
 4387       300.344     -26.2119
 4388       301.665     -23.2213
 4389       303.030     -20.2584
 4390       304.441     -17.3259
 4391       305.903     -14.4267
